Line_Number,Timestamp,Parsed_Time,Event,IP_Address,Username,Process,Host,Message,Raw_Line,Geo_Country,Geo_City,Geo_Lat,Geo_Lon,IP_Reputation,ASN,MITRE_Technique,MITRE_Tactic,Geo_Risk,Session_ID,Risk_Score,Severity_Level
1,Jun 15 00:05:04,2024-06-15 00:05:04,SUCCESSFUL_LOGIN,192.168.1.101,admin,sshd,db-primary,20909]: Accepted password for admin from 192.168.1.101 port 49767 ssh2,Jun 15 00:05:04 db-primary sshd[20909]: Accepted password for admin from 192.168.1.101 port 49767 ssh2,India,Mumbai,19.08,72.88,0.0,AS36352 — ColoCrossing (bulletproof),T1078 — Valid Accounts,Initial Access,0.35,S-0001,51.72,CRITICAL
2,Jun 15 00:05:04,2024-06-15 00:05:04,SUCCESSFUL_LOGIN,192.168.1.55,admin,sshd,server01,29368]: Accepted password for admin from 192.168.1.55 port 38515 ssh2,Jun 15 00:05:04 server01 sshd[29368]: Accepted password for admin from 192.168.1.55 port 38515 ssh2,North Korea,Pyongyang,39.02,125.75,0.215,AS20473 — Vultr Holdings,T1078 — Valid Accounts,Initial Access,0.95,S-0002,59.03,CRITICAL
3,Jun 15 00:20:51,2024-06-15 00:20:51,OTHER,Internal,user,sshd,db-primary,56428]: pam_unix(sshd:session): session opened for user ubuntu,Jun 15 00:20:51 db-primary sshd[56428]: pam_unix(sshd:session): session opened for user ubuntu,Local,Internal,0.0,0.0,0.95,AS0 — Internal,T1059 — Command and Scripting Interpreter,Execution,0.3,S-0003,19.67,MEDIUM
4,Jun 15 00:20:59,2024-06-15 00:20:59,SUCCESSFUL_LOGIN,192.168.1.55,admin,sshd,db-primary,34601]: Accepted password for admin from 192.168.1.55 port 46797 ssh2,Jun 15 00:20:59 db-primary sshd[34601]: Accepted password for admin from 192.168.1.55 port 46797 ssh2,North Korea,Pyongyang,39.02,125.75,0.215,AS20473 — Vultr Holdings,T1078 — Valid Accounts,Initial Access,0.95,S-0002,59.03,CRITICAL
5,Jun 15 00:21:17,2024-06-15 00:21:17,SUCCESSFUL_LOGIN,192.168.1.55,ubuntu,sshd,web-prod,21995]: Accepted password for ubuntu from 192.168.1.55 port 61788 ssh2,Jun 15 00:21:17 web-prod sshd[21995]: Accepted password for ubuntu from 192.168.1.55 port 61788 ssh2,North Korea,Pyongyang,39.02,125.75,0.215,AS20473 — Vultr Holdings,T1078 — Valid Accounts,Initial Access,0.95,S-0002,59.03,CRITICAL
6,Jun 15 00:52:51,2024-06-15 00:52:51,SUCCESSFUL_LOGIN,10.0.0.12,user,sshd,server01,47991]: Accepted password for user from 10.0.0.12 port 52263 ssh2,Jun 15 00:52:51 server01 sshd[47991]: Accepted password for user from 10.0.0.12 port 52263 ssh2,Local,Internal,0.0,0.0,0.0,AS36352 — ColoCrossing (bulletproof),T1078 — Valid Accounts,Initial Access,0.3,S-0004,52.14,CRITICAL
7,Jun 15 00:57:17,2024-06-15 00:57:17,OTHER,Internal,user,sshd,web-prod,36160]: pam_unix(sshd:session): session opened for user ubuntu,Jun 15 00:57:17 web-prod sshd[36160]: pam_unix(sshd:session): session opened for user ubuntu,Local,Internal,0.0,0.0,0.95,AS0 — Internal,T1059 — Command and Scripting Interpreter,Execution,0.3,S-0005,19.67,MEDIUM
8,Jun 15 00:57:23,2024-06-15 00:57:23,SUCCESSFUL_LOGIN,192.168.1.55,user,sshd,db-primary,35584]: Accepted password for user from 192.168.1.55 port 51632 ssh2,Jun 15 00:57:23 db-primary sshd[35584]: Accepted password for user from 192.168.1.55 port 51632 ssh2,North Korea,Pyongyang,39.02,125.75,0.215,AS20473 — Vultr Holdings,T1078 — Valid Accounts,Initial Access,0.95,S-0006,59.03,CRITICAL
9,Jun 15 01:16:15,2024-06-15 01:16:15,SUCCESSFUL_LOGIN,10.0.1.200,ubuntu,sshd,db-primary,22891]: Accepted password for ubuntu from 10.0.1.200 port 37569 ssh2,Jun 15 01:16:15 db-primary sshd[22891]: Accepted password for ubuntu from 10.0.1.200 port 37569 ssh2,Local,Internal,0.0,0.0,0.0,AS4134  — ChinaNet,T1078 — Valid Accounts,Initial Access,0.3,S-0007,49.62,CRITICAL
10,Jun 15 01:17:51,2024-06-15 01:17:51,SUCCESSFUL_LOGIN,192.168.1.55,user,sshd,db-primary,39461]: Accepted password for user from 192.168.1.55 port 38851 ssh2,Jun 15 01:17:51 db-primary sshd[39461]: Accepted password for user from 192.168.1.55 port 38851 ssh2,North Korea,Pyongyang,39.02,125.75,0.215,AS20473 — Vultr Holdings,T1078 — Valid Accounts,Initial Access,0.95,S-0006,59.03,CRITICAL
